ensembl_gene_id,symbol,logFC,t,P.Value
ENSG00000011028,MRC2,-2.276311489,-1.650765017,0.1076913
ENSG00000011105,TSPAN9,1.178263619,1.205799184,0.235945884
ENSG00000011114,BTBD7,0.413805526,1.801717651,0.080168965
ENSG00000011132,APBA3,-0.824518285,-4.879076907,2.29E-05
ENSG00000011143,MKS1,-0.12169773,-0.312145211,0.756773621
ENSG00000011198,ABHD5,1.127238926,1.476036738,0.148833346
ENSG00000011243,AKAP8L,0.220443989,1.814810059,0.078091003
ENSG00000011258,MBTD1,0.366718894,1.007079761,0.320776337
ENSG00000011260,UTP18,-0.445756093,-2.343964826,0.024856951
ENSG00000011275,RNF216,-0.235402405,-1.357314487,0.183329451
ENSG00000011295,TTC19,0.236533976,1.224080784,0.229060001
ENSG00000011304,PTBP1,-0.078469277,-0.60391053,0.549779544
ENSG00000011376,LARS2,0.27859873,0.748901364,0.458897112
ENSG00000011405,PIK3C2A,0.8955908,2.503471921,0.01708953
ENSG00000011422,PLAUR,-1.139143747,-1.358146943,0.183067656
ENSG00000011426,ANLN,2.386484913,2.039919886,0.04892545
ENSG00000011451,WIZ,0.406279903,0.95799373,0.344606515
ENSG00000011454,RABGAP1,0.361906212,0.817757402,0.419002422
ENSG00000011478,QPCTL,0.872664674,1.711300104,0.095834389
ENSG00000011485,PPP5C,1.069373362,3.534282758,0.0011671
ENSG00000011523,CEP68,-1.053303698,-2.331801028,0.025563871
ENSG00000011566,MAP4K3,0.347125438,0.706802182,0.484346989
ENSG00000011590,ZBTB32,-6.309413118,-6.277824117,3.27E-07
ENSG00000011600,TYROBP,8.763204233,7.902028954,2.64E-09
ENSG00000011638,TMEM159,-0.023542296,-0.023024802,0.98176065
ENSG00000012048,BRCA1,2.30799451,1.899905891,0.065670731
ENSG00000012061,ERCC1,0.223606103,1.153493139,0.256488263
ENSG00000012124,CD22,2.104049169,1.766325804,0.086021914
ENSG00000012174,MBTPS2,0.413292192,0.795311064,0.431768346
ENSG00000012211,PRICKLE3,0.715468642,0.790964956,0.434267023
ENSG00000012232,EXTL3,2.183874676,3.27919669,0.002351306
ENSG00000012660,ELOVL5,-0.926922564,-3.953354414,0.000355212
ENSG00000012779,ALOX5,-1.991017551,-1.778596032,0.083953165
ENSG00000012817,KDM5D,-1.029314325,-5.332198334,5.79E-06
ENSG00000012822,CALCOCO1,0.626490007,3.041387972,0.004430648
ENSG00000012963,UBR7,0.17771428,0.806673555,0.425276981
ENSG00000012983,MAP4K5,0.924147328,4.477540348,7.62E-05
ENSG00000013016,EHD3,0.692961976,0.80422611,0.426670156
ENSG00000013275,PSMC4,0.32474551,1.979061069,0.055681555
ENSG00000013288,MAN2B2,0.102340596,0.381902066,0.704832232
ENSG00000013306,SLC25A39,0.190776239,0.883272736,0.383087832
ENSG00000013364,MVP,-0.327776757,-2.137682831,0.039570729
ENSG00000013374,NUB1,0.41802717,3.377980198,0.001796988
ENSG00000013375,PGM3,-1.105934119,-1.513915293,0.138984556
ENSG00000013392,RWDD2A,-1.439980241,-1.182923132,0.244775899
ENSG00000013441,CLK1,0.097901136,0.563946928,0.576369575
ENSG00000013503,POLR3B,0.633829109,1.027267306,0.311309338
ENSG00000013523,ANGEL1,0.865523878,1.15025124,0.25780288
ENSG00000013561,RNF14,0.728308985,3.230000077,0.002684972
ENSG00000013563,DNASE1L1,-0.109129144,-0.172631803,0.863930642
ENSG00000013573,DDX11,-0.033194684,-0.087010938,0.931156412
ENSG00000013583,HEBP1,-0.247861222,-0.850337054,0.400890685
ENSG00000013619,MAMLD1,-3.747018045,-2.625864415,0.012712137
ENSG00000013725,CD6,-6.023596126,-4.225254471,0.000160821
ENSG00000013810,TACC3,-2.864197879,-8.657704401,3.07E-10
ENSG00000014123,UFL1,-0.029491489,-0.170066868,0.865932232
ENSG00000014138,POLA2,0.296739474,1.203206395,0.236934718
ENSG00000014164,ZC3H3,-0.211870868,-1.124134068,0.268571624
ENSG00000014216,CAPN1,0.092913775,0.562953072,0.577038835
ENSG00000014257,ACPP,2.893883071,2.169629256,0.036876995
ENSG00000014641,MDH1,-0.219737211,-0.992079885,0.327936407
ENSG00000014824,SLC30A9,-0.276997143,-1.261123036,0.21556733
ENSG00000014914,MTMR11,0.877950712,0.751903463,0.457112596
ENSG00000014919,COX15,0.400892104,1.639000438,0.110130915
ENSG00000015133,CCDC88C,-0.125504748,-0.623828805,0.536766105
ENSG00000015153,YAF2,0.708589267,3.446396021,0.001488992
ENSG00000015171,ZMYND11,0.884365924,1.285730014,0.206939977
ENSG00000015285,WAS,-0.111963554,-0.543157494,0.590448068
ENSG00000015475,BID,1.158507094,4.79423395,2.95E-05
ENSG00000015479,MATR3,-0.125902134,-0.336767701,0.738293687
ENSG00000015532,XYLT2,-0.227052592,-0.486590508,0.629567637
ENSG00000015676,NUDCD3,-0.411673473,-2.758838391,0.009145328
ENSG00000016391,CHDH,-3.961437127,-1.899251966,0.065759296
ENSG00000016402,IL20RA,-0.210373582,-0.257398639,0.798371347
ENSG00000016864,GLT8D1,0.361233176,1.899326929,0.065749138
ENSG00000017260,ATP2C1,0.012091162,0.057309994,0.954622681
ENSG00000017427,IGF1,0.556211663,1.129440721,0.26635786
ENSG00000017483,SLC38A5,-0.581775717,-1.089732702,0.283242527
ENSG00000017797,RALBP1,0.432291835,1.600356228,0.118466747
ENSG00000018189,RUFY3,0.677137908,2.416215114,0.021010184
ENSG00000018280,SLC11A1,0.437899577,0.653134445,0.517917485
ENSG00000018408,WWTR1,-0.558772935,-0.68830159,0.49577884
ENSG00000018510,AGPS,0.496425641,2.222377235,0.032784513
ENSG00000018610,CXorf56,0.322111044,1.525842345,0.135994049
ENSG00000018625,ATP1A2,0.41739615,0.66391044,0.511077467
ENSG00000018699,TTC27,-0.34333533,-0.788415015,0.43573709
ENSG00000018869,ZNF582,1.362260984,1.669788484,0.10384097
ENSG00000019102,VSIG2,-3.674456662,-3.414481522,0.001625771
ENSG00000019144,PHLDB1,-0.625028357,-0.636342111,0.52867404
ENSG00000019169,MARCO,2.436696694,1.812260382,0.078492051
ENSG00000019186,CYP24A1,-2.743379601,-1.905669598,0.064894543
ENSG00000019485,PRDM11,1.512657401,3.211840363,0.002819177
ENSG00000019582,CD74,0.7349623,2.06632259,0.046224924
ENSG00000019991,HGF,1.199239883,1.051951148,0.299997374
ENSG00000019995,ZRANB1,0.443126356,1.151408781,0.257332929
ENSG00000020129,NCDN,-0.999963957,-3.203052034,0.002886396
ENSG00000020181,ADGRA2,2.987599556,2.87269893,0.006856062
ENSG00000020256,ZFP64,0.924507414,1.420115155,0.164379979
ENSG00000020426,MNAT1,0.621389618,2.341291884,0.025010763
ENSG00000020577,SAMD4A,-3.888169911,-3.752600815,0.000631416
ENSG00000020633,RUNX3,1.7686742,5.249211747,7.45E-06
ENSG00000020922,MRE11A,1.041685004,2.754136741,0.009253676
ENSG00000021300,PLEKHB1,-4.149705618,-4.57191797,5.75E-05
ENSG00000021355,SERPINB1,-0.138419996,-0.712976521,0.480565176
ENSG00000021488,SLC7A9,-0.344159835,-0.325698872,0.746582432
ENSG00000021574,SPAST,0.696035885,1.915415645,0.063600016
ENSG00000021762,OSBPL5,6.471755184,6.601369869,1.23E-07
ENSG00000021776,AQR,0.342157307,1.239819493,0.22325238
ENSG00000021826,CPS1,-1.637696946,-2.07912652,0.044963086
ENSG00000022267,FHL1,-1.654062367,-2.317974249,0.026389425
ENSG00000022277,RTFDC1,0.55103754,2.925816473,0.005982744
ENSG00000022556,NLRP2,3.726139616,4.701257495,3.91E-05
ENSG00000022567,SLC45A4,-0.06616875,-0.291476577,0.772399392
ENSG00000022840,RNF10,-0.02378235,-0.137779044,0.891200971
ENSG00000022976,ZNF839,-0.341905968,-1.6702401,0.103750968
ENSG00000023041,ZDHHC6,-0.099391146,-0.48019556,0.634062107
ENSG00000023171,GRAMD1B,0.582949155,0.692535165,0.493149648
ENSG00000023191,RNH1,-0.070248835,-0.440157422,0.662516835
ENSG00000023228,NDUFS1,0.147098021,0.87285822,0.38866188
ENSG00000023287,RB1CC1,0.370816157,1.796672365,0.080982143
ENSG00000023318,ERP44,0.187252371,1.367133714,0.180259816
ENSG00000023330,ALAS1,1.638185502,1.865157718,0.070521232
ENSG00000023445,BIRC3,-2.721215828,-6.669387584,1.00E-07
ENSG00000023516,AKAP11,0.156982516,0.380300822,0.706009681
ENSG00000023572,GLRX2,0.690534549,2.469287346,0.01853814
ENSG00000023608,SNAPC1,-0.401573461,-0.808359162,0.424319085
ENSG00000023697,DERA,1.041634295,4.041946567,0.000274809
ENSG00000023734,STRAP,0.282101293,1.411541384,0.166872595
ENSG00000023839,ABCC2,0.374803228,0.348539732,0.729513068
ENSG00000023892,DEF6,-0.126363113,-0.791589357,0.433907505
ENSG00000023902,PLEKHO1,0.032684538,0.13441254,0.89384275
ENSG00000023909,GCLM,-0.097424943,-0.211255177,0.833907712
ENSG00000024048,UBR2,0.439698915,2.434087659,0.020146074
ENSG00000024526,DEPDC1,0.148939782,0.207949207,0.83646834
ENSG00000024862,CCDC28A,-0.21969998,-1.19717477,0.239246864
ENSG00000025039,RRAGD,-2.864726446,-2.419302817,0.020858532
ENSG00000025156,HSF2,-0.208761422,-0.624086106,0.536599062
ENSG00000025293,PHF20,0.168062828,1.34217927,0.188139853
ENSG00000025423,HSD17B6,-2.309393097,-2.113316127,0.041740991
ENSG00000025434,NR1H3,2.503280052,3.371122371,0.001831029
ENSG00000025708,TYMP,-0.57958501,-1.267199112,0.213412284
ENSG00000025770,NCAPH2,-0.164388064,-1.121636335,0.269618147
ENSG00000025772,TOMM34,0.421686185,0.562004613,0.577677881
ENSG00000025796,SEC63,0.214487627,1.323979643,0.194052154
ENSG00000025800,KPNA6,-0.096553303,-0.463706418,0.645715749
ENSG00000026025,VIM,-1.760468467,-5.36307475,5.27E-06
ENSG00000026036,RTEL1-TNFRSF6B,-0.77614856,-1.016133702,0.31650645
ENSG00000026103,FAS,-2.334649284,-6.300478689,3.05E-07
ENSG00000026297,RNASET2,-2.007151942,-8.973142305,1.28E-10
ENSG00000026508,CD44,-0.450475717,-1.17120097,0.24939326
ENSG00000026652,AGPAT4,1.88102583,2.421308724,0.020760546
ENSG00000026751,SLAMF7,6.093795028,3.582603394,0.001019852
ENSG00000026950,BTN3A1,0.432359159,2.277333804,0.02895676
ENSG00000027001,MIPEP,0.27984104,0.316112369,0.753785995
ENSG00000027075,PRKCH,0.765634391,1.480738352,0.147581449
ENSG00000027697,IFNGR1,1.306526198,3.820248443,0.000520692
ENSG00000027847,B4GALT7,0.109371239,0.389650893,0.699144719
ENSG00000027869,SH2D2A,1.219192064,2.819412731,0.007851077
ENSG00000028116,VRK2,0.977449428,1.210218688,0.234267404
ENSG00000028137,TNFRSF1B,0.260061905,0.598008041,0.553666823
ENSG00000028203,VEZT,0.307448926,1.051942495,0.300001288
ENSG00000028277,POU2F2,-0.796084241,-2.659006666,0.011719154
ENSG00000028310,BRD9,-0.268870066,-1.810027455,0.078844712
ENSG00000028528,SNX1,0.395068701,0.903190975,0.372570312
ENSG00000028839,TBPL1,0.469233558,2.030714953,0.04989891
ENSG00000029153,ARNTL2,-1.92513985,-1.428904803,0.161855063
ENSG00000029363,BCLAF1,0.316211953,2.003795674,0.052843535
ENSG00000029364,SLC39A9,-0.003557038,-0.009063862,0.992819411
